Name;OriginalSize;BxesSize;BxesPreprocessing;ZipSize;BxesToXesSize;ExiSize
CCC19 - Log XES;806604;23998;23178;26474;874976;21653
not_existing_assembly_loading_50;69765356;1468422;1445237;3031019;70211931;1496488
finalizable_object_1;885275;35384;35173;33805;892966;28344
exception_try_catch_finally_when_1;620798;31930;31881;30622;624619;25040
unsafe_fixed_50;24518888;434112;427131;1132204;24670188;535439
array_pooling_75;122689144;2649695;2595570;4554159;123947709;2690160
task_test_project_50;97435590;1919754;1884916;4166718;98010540;1983930
dynamic_assembly_loading_1;1489486;59374;59734;62821;1498542;48355
finalizable_object_75;66439007;1405536;1269361;2475053;67019727;1448607
simple_async_await_1;2329325;87808;89361;95041;2342181;70741
console_app_1_1;636155;32343;32331;31752;640266;25454
intensive_thread_pool_25;553313386;12445109;12152910;14753209;558784816;10882575
file_async_operations_1;4361130;151041;153336;163743;4393111;125699
dynamic_assembly_loading_50;73979343;1454694;1429610;3075086;74429768;1480963
exception_try_catch_finally_1;147387;9888;9858;8578;148338;7788
not_simple_async_await_75;258632003;5290430;5171401;9870844;260568163;5343877
console_app_1_75;46467401;817494;802347;2253153;46764201;1043289
exception_try_catch_finally_when_25;15480120;302193;298908;737088;15576640;352525
intensive_thread_pool_50;1094425732;23976581;23455444;28984504;1105223532;21303506
exception_try_catch_finally_async_1;2834835;110714;111997;119250;2852656;89519
task_test_project_25;48937439;1015441;1000253;2099811;49227744;1017016
unsafe_fixed_25;12312261;237221;234582;570185;12388651;277401
yield_enumerator_75;35292547;586405;576460;1663595;35508537;754986
not_existing_assembly_loading_25;35092368;777753;766824;1527886;35318548;765096
unsafe_fixed_1;494249;25495;25337;23890;497270;19849
exception_try_catch_finally_when_50;30768851;547461;539795;1461084;30959581;675084
simple_async_await_75;174560114;3049109;3003221;7047326;175526434;3240897
exception_try_catch_finally_async_75;212480363;4281169;4209715;8870048;213817553;4379735
exception_try_catch_finally_75;10829230;215992;212432;548696;10901905;214089
file_write_project_75;51428622;817691;799648;2216319;51730007;1054879
dynamic_assembly_creation_75;196603923;3107021;3043304;7245403;197688098;3328542
dynamic_assembly_loading_25;37081659;775577;764547;1542237;37307999;760292
task_test_project_1;1962871;78871;79676;84967;1974477;64107
loh_allocations_1;58091937;830554;860987;1315593;58616993;775070
file_async_operations_75;322274253;6412601;6301468;12118437;324612938;6528738
loh_allocations_75;4362044610;59174768;61587661;98943129;4401492795;56879757
file_async_operations_50;207679531;4167623;4085525;7918992;209151011;4207041
loh_allocations_50;2901896089;39289878;40968319;65449218;2928116414;37621612
file_write_project_50;34106472;560458;550330;1467311;34305172;699268
dynamic_assembly_creation_50;130532191;2097287;2053983;4799011;131248781;2216150
not_simple_async_await_25;86244842;1860038;1832596;3291077;86891837;1820589
yield_enumerator_1;480191;25353;25207;23600;483137;19898
console_app_1_25;15498949;309790;306066;752913;15598129;361431
exception_try_catch_finally_50;7218623;148781;146849;366417;7267123;146733
simple_async_await_50;115913079;2076006;2045430;4682719;116551614;2166956
exception_try_catch_finally_async_50;246641549;1516891;1456082;11694780;247972439;3284994
not_simple_async_await_1;3469191;123565;124198;133487;3495257;102067
exception_try_catch_finally_when_75;46405530;790617;778844;2206596;46694370;1013275
intensive_thread_pool_1;22181583;642417;637859;592611;22400249;485643
yield_enumerator_50;23505447;405001;399431;1108770;23649337;509938
array_pooling_25;40808752;913924;896778;1519093;41228207;904231
finalizable_object_25;22129790;469574;457065;825501;22323360;486312
intensive_thread_pool_75;1668535631;35926797;35229484;44430083;1684999161;32350021
exception_try_catch_finally_async_25;124905472;792683;761877;5901599;125589117;1528544
simple_async_await_25;58210346;1091689;1076457;2352486;58533021;1106268
exception_try_catch_finally_25;3618508;83707;82491;184378;3642853;78246
console_app_1_50;30958308;561587;552691;1501884;31156198;696409
dynamic_assembly_creation_1;2620670;82140;83805;97499;2635066;68385
file_write_project_1;687912;31771;31825;30850;691903;24409
not_simple_async_await_50;166669833;3437755;3367799;6441271;167891878;3449026
dynamic_assembly_creation_25;65506195;1083802;1066918;2415125;65867630;1123184
file_write_project_25;17146918;309397;304591;740011;17247518;364206
dynamic_assembly_loading_75;111274552;2122909;2086992;4623610;111952992;2214399
loh_allocations_25;1451463858;20088049;20825399;33046701;1464611948;19152039
file_async_operations_25;108063710;2263518;2228891;4051554;108851860;2233468
not_existing_assembly_loading_1;1403475;58647;58844;61983;1412456;47705
array_pooling_1;1628377;51264;50869;61194;1645043;44652
finalizable_object_50;44129347;934908;867868;1642132;44514522;961418
task_test_project_75;146659466;2806627;2752345;6281871;147528136;2962949
array_pooling_50;81271210;1776907;1741530;3007343;82105780;1784559
unsafe_fixed_75;36930720;628451;613636;1706882;37159570;795669
yield_enumerator_25;11774287;223274;220725;555900;11846482;265112
not_existing_assembly_loading_75;104651855;2129809;2088228;4544666;105321770;2216802
JUnit 4.12 Software Event Log;2049383;53985;54255;81043;2097357;42855
Sepsis Cases - Event Log;5441435;147051;147498;182652;5886334;159572
BPI Challenge 2018;1946897684;105579927;104369513;151167704;2010952152;114077209
Hospital_log;85363264;820868;812376;2170365;90870885;956184
BPI Challenge 2017;578941403;2472100;2462567;26339829;293423918;22738334
Hospital Billing - Event Log;174298183;3980243;3964168;5956718;186861180;4891462
Road_Traffic_Fine_Management_Process;185382899;1435226;1425303;2946229;197606891;2328350
log2;207345060;2078370;2062459;2487742;222830689;1565697
log1;207578632;2040021;2048498;2515157;223081621;1717698
Statechart Workbench and Alignments Software Event Log;47663197;364117;359330;415993;48872738;345778
BPI_Challenge_2012;74100050;2002788;2011125;2991224;79352589;2669697
BPIC15_3;46768886;1428594;1420625;2024101;49410960;1232210
BPIC15_1;41227060;1299382;1294390;1965191;43556222;1110654
BPIC15_4;36998010;1045049;1055641;1750283;39148433;916773
BPIC15_5;46039768;1318465;1326688;2280469;48763627;1154894
activitylog_uci_detailed_labour;339236;10687;10673;11698;370199;10052
edited_hh104_labour;993440;30461;30440;32574;1090169;27350
edited_hh110_labour;333997;10597;10581;11583;365266;9955
edited_hh110_weekends;89510;3406;3395;3762;97596;3348
edited_hh102_weekends;102375;3825;3819;4365;111619;3793
edited_hh104_weekends;415642;13096;13091;14027;455288;12005
edited_hh102_labour;279669;9069;9054;10041;305496;8646
activitylog_uci_detailed_weekends;120596;4192;4180;4800;131204;4187
BPI_Challenge_2013_closed_problems;4188481;110741;111521;171828;4476312;120321
BPI_Challenge_2013_incidents;39553525;786383;783942;1191679;42763629;855725
BPI_Challenge_2013_open_problems;1402523;44120;44838;63114;1480383;45391
nasa-cev-complete-splitted;74881861;1108220;1096631;1264505;79313091;909780
nasa-cev-1-10-single-trace;51349;4179;4133;3567;54666;3455
nasa-cev-complete-single-trace;61529300;904627;876556;1203454;66590185;816904
